schoolid,lon,lat,population,compareMedian
010000500870,-86.2061740000000043,34.2601939999999985,704,below
010000500879,-86.2200859999999949,34.2731610000000018,377,below
010000600193,-86.2536810000000003,34.5337209999999999,337,below
010000600872,-86.142240000000001,34.3627699999999976,249,below
010000601434,-86.4223369999999989,34.3771580000000014,259,below
010000601812,-86.3212589999999977,34.1762340000000009,465,below
010000700337,-86.7321799999999996,33.3956480000000013,1133,below
010000701422,-86.8524769999999933,33.3309110000000004,812,below
010000701741,-86.8336720000000071,33.3878950000000003,783,below
010000702186,-86.888660999999999,33.3439300000000003,436,below
010000800303,-86.7137089999999944,34.7058170000000033,102,below
010000800495,-86.7426970000000068,34.7408140000000003,753,below
010000800839,-86.7504639999999938,34.6974540000000005,87,below
010000800851,-86.7511549999999971,34.721193999999997,58,below
010000801423,-86.7832329999999956,34.721074999999999,139,below
010000801485,-86.7330570000000023,34.7512230000000031,144,below
010000801798,-86.7791969999999964,34.7336699999999965,820,below
010000802097,-86.7660460000000029,34.7343150000000023,124,below
010000802133,-86.7724290000000025,34.7000799999999998,113,below
010001200123,-86.1579339999999974,34.2122260000000011,520,below
010001201630,-86.1613449999999972,34.2135249999999971,1,above
010003000001,-85.9487940000000066,32.9450750000000028,436,below
010003000003,-85.950766999999999,32.9377479999999991,5,below
010003000005,-85.9490320000000025,32.9555209999999974,1,above
010003000006,-85.9726189999999946,32.9294569999999993,231,below
010006000008,-86.4724209999999971,31.313758,256,below
010006001467,-86.5025040000000018,31.2845650000000006,143,below
010009001725,-85.8228419999999943,33.7081810000000033,381,above
010012000522,-86.996664999999993,34.7934350000000023,275,below
010012001473,-86.9680110000000042,34.7957449999999966,607,below
010018500893,-88.064187000000004,30.8312029999999986,704,below
010018902195,-88.0568669999999969,30.8470769999999988,220,below
010018902196,-88.0670290000000051,30.8466139999999989,95,below
010019001184,-86.8379929999999973,33.2152930000000026,1004,below
010019002149,-86.8231580000000065,33.2275089999999977,487,below
010021000037,-85.4766730000000052,32.5981280000000027,619,below
010021000041,-85.4936909999999983,32.6188799999999972,1236,below
010024000045,-86.7017699999999962,32.6622380000000021,142,below
010024000049,-86.4706900000000047,32.4849490000000003,1024,below
010024000050,-86.4516160000000014,32.4542220000000015,310,below
010024000546,-86.4221900000000005,32.4522380000000013,212,below
010024001408,-86.6596430000000026,32.4337179999999989,59,above
010024002159,-86.4745499999999936,32.7006960000000007,447,below
010027000012,-87.7742300000000029,30.8888859999999994,114,below
010027000013,-87.8700630000000018,30.6173320000000011,604,below
010027000023,-87.678994000000003,30.2690680000000008,422,below
010027000056,-87.9022190000000023,30.5913779999999989,168,below
010027000057,-87.5997600000000034,30.4198069999999987,319,below
010027000058,-87.6248219999999947,30.5667650000000002,39,below
010027000059,-87.8817549999999983,30.4954430000000016,774,below
010027000060,-87.6893989999999945,30.4076020000000007,715,below
010027000062,-87.6213809999999995,31.004249999999999,163,below
010027000065,-87.6798320000000047,30.6194330000000008,38,below
010027000066,-87.7539309999999944,30.5428099999999994,59,below
010027000068,-87.7901710000000008,30.7423560000000009,22,below
010027000069,-87.6956739999999968,30.4872130000000006,166,below
010027000070,-87.7287649999999957,30.3162759999999985,36,below
010027000162,-87.7270829999999933,30.5843190000000007,676,below
010027000549,-87.5577519999999936,30.2970429999999986,58,below
010027000648,-87.7435679999999962,30.4185000000000017,82,below
010027000660,-87.8569399999999945,30.4736609999999999,110,below
010027001477,-87.680090000000007,30.2689689999999985,146,below
010027001710,-87.8764019999999988,30.5263820000000017,280,below
010027001713,-87.6921200000000027,30.3854900000000008,225,below
010027001714,-87.7570230000000038,30.6135659999999987,54,below
010027001715,-87.7490030000000019,30.8655420000000014,62,below
010027001716,-87.6985130000000055,30.5519159999999985,128,below
010027001783,-87.8490840000000048,30.7900899999999993,29,below
010027001859,-87.7806810000000013,30.8938270000000017,477,below
010027001888,-87.8539609999999982,30.7151400000000017,849,below
010027002072,-87.8698669999999993,30.6140609999999995,143,below
010036000092,-87.1425770000000028,32.9472329999999971,3,above
010036000094,-87.1101210000000066,32.9428160000000005,357,below
010036000096,-86.9063210000000055,32.9013139999999993,19,below
010036001426,-87.1313169999999957,33.112679,342,below
010039000108,-86.8286839999999955,33.4878519999999966,137,above
010039000133,-86.8971319999999992,33.4706639999999993,308,above
010039000139,-86.8047880000000021,33.5557450000000017,217,above
010039000140,-86.6927929999999947,33.5949880000000007,342,above
010039000142,-86.7815070000000048,33.5638140000000007,117,above
010039000184,-86.7010269999999963,33.6103859999999983,541,above
010039000190,-86.8285809999999998,33.4958499999999972,221,above
010039000191,-86.8829609999999946,33.4638539999999978,354,above
010039000196,-86.8386789999999991,33.523069999999997,295,above
010039000201,-86.916758999999999,33.5053529999999995,136,above
010039001421,-86.8924090000000007,33.5426629999999975,162,above
010039001649,-86.8703299999999956,33.4743309999999994,371,above
010039001823,-86.717298999999997,33.5657619999999994,325,above
010039001878,-86.8051009999999934,33.5232159999999979,318,above
010039002204,-86.8642380000000003,33.5162639999999996,248,above
010039002206,-86.7715330000000051,33.5313340000000011,248,above
